City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Camacha,40,PT,1612569234,67,33.0833,-16.3333,57.2,19.57
Mataura,62,NZ,1612569234,48,-46.1927,168.8643,73.51,3.04
Hobart,75,AU,1612569035,64,-42.8794,147.3294,73.0,10.36
Manacor,20,ES,1612569234,45,39.5696,3.2096,68.0,5.75
São José da Coroa Grande,5,BR,1612569234,81,-8.8978,-35.1478,78.48,8.93
Barrow,40,US,1612569234,70,71.2906,-156.7887,-9.4,12.66
Levelland,1,US,1612569234,13,33.5873,-102.378,61.0,3.44
Ambon City,20,ID,1612569235,74,-3.6954,128.1814,84.2,5.75
Morondava,100,MG,1612569235,83,-20.2833,44.2833,81.48,4.12
Rikitea,9,PF,1612569235,73,-23.1203,-134.9692,78.12,14.61
Ogden,90,US,1612569003,80,41.223,-111.9738,35.6,5.75
Alta Floresta,99,BR,1612569235,89,-9.8756,-56.0861,75.83,2.1
Port Alfred,82,ZA,1612569235,93,-33.5906,26.891,70.0,15.21
Ongandjera,69,NA,1612569235,40,-17.8833,15.0667,79.09,9.86
Arrondissement de Bastia,90,FR,1612569235,88,42.6667,9.3333,55.99,3.44
New Norfolk,74,AU,1612569235,93,-42.7826,147.0587,73.99,4.0
Mabay,100,PH,1612569235,70,6.0577,124.4666,80.67,3.24
Ugoofaaru,74,MV,1612569235,75,5.6667,73.0,81.61,9.95
Ponta do Sol,35,PT,1612569236,69,32.6667,-17.1,52.0,4.0
Severo-Kuril'sk,53,RU,1612569236,83,50.6789,156.125,15.48,5.17
Kapaa,75,US,1612569236,60,22.0752,-159.319,72.0,3.44
Horasan,5,TR,1612569236,88,40.0458,42.1728,15.01,0.85
Esperance,90,AU,1612569236,94,-33.8667,121.9,60.8,8.05
Taltal,29,CL,1612569236,77,-25.4,-70.4833,64.56,3.62
Dunedin,87,NZ,1612569236,70,-45.8742,170.5036,60.01,27.0
Victor Harbor,11,AU,1612569236,81,-35.5667,138.6167,66.0,10.0
Eldorado,51,BR,1612569236,74,-23.7869,-54.2836,67.71,2.95
Punta Arenas,0,CL,1612569237,47,-53.15,-70.9167,53.6,26.46
Daru,100,PG,1612569237,68,-9.0763,143.2092,84.69,14.32
Atuona,4,PF,1612569237,81,-9.8,-139.0333,79.39,18.39
Lázaro Cárdenas,1,MX,1612569237,67,17.9583,-102.2,78.93,5.35
Montepuez,100,MZ,1612569237,99,-13.1256,38.9997,69.76,2.46
Kasempa,97,ZM,1612569237,94,-13.4584,25.8338,64.92,3.8
Kjøllefjord,99,NO,1612569237,92,70.9457,27.3465,26.35,20.51
Vardø,75,NO,1612569237,79,70.3705,31.1107,24.8,12.66
Puerto Ayora,98,EC,1612569237,90,-0.7393,-90.3518,79.0,5.99
Jieshi,0,CN,1612569237,76,22.8134,115.8257,64.99,4.54
